id,type,topic,sub_topic,description,command,reference,example,note
1,command,Anaconda Cheatsheet,None,Creating a virtual environment ,conda create --name $ENVIRONMENT_NAME ,,,
2,command,Anaconda Cheatsheet,None,Deactivating an environment ,conda activate $ENVIRONMENT_NAME ,,,
3,command,Anaconda Cheatsheet,None,Deactivating an environment ,conda deactivate $ENVIRONMENT_NAME  ,,,
4,command,Anaconda Cheatsheet,None,Removing an environment ,conda env remove --name $ENVIRONMENT_NAME ,,,
5,command,Anaconda Cheatsheet,None,Exporting to an environment  file,conda env export > $FILE_NAME ,,conda env export --no-builds > base.yml ,
6,command,Anaconda Cheatsheet,None,Creating an environment from a  file ,conda env create -f $FILE_NAME ,,,
7,command,Anaconda Cheatsheet,None,Listing all environments ,conda info --envs ,,,
8,command,Anaconda Cheatsheet,None,Installing Python x.x ,conda install python=x.x  ,,,
9,command,Anaconda Cheatsheet,None,Updating Python ,conda update python ,,,
10,command,Anaconda Cheatsheet,None,Installing a package ,conda install $PACKAGE_NAME  ,,,
11,command,Anaconda Cheatsheet,None,Updating a package,conda update $PACKAGE_NAME  ,,,
12,command,Anaconda Cheatsheet,None,Removing a package ,conda remove $PACKAGE_NAME  ,,,
13,command,Anaconda Cheatsheet,None,Updating conda itself ,conda update conda ,,,
14,command,Anaconda Cheatsheet,None,Searching for packages ,conda search $SEARCH_TERM  ,,,
15,command,Anaconda Cheatsheet,None,Listing installed packages in an environment,conda list ,,,
